cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
8,lonmin miners return to work,2013,SAT-EARLY-MEDIA-014,Lonmin miners return to work,Engineering News / Sapa,https://www.engineeringnews.co.za/article/lonmin-miners-return-to-work-2013-05-15,88eaf683fa20e5459e7370eb3ddd920796b83e3651d897087612bbcda777e415,manual_review_same_title_year
9,lonmin paid 1678m in taxes royalties during 2018 financial year,2019,DISC-MEDIA-0474,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,Engineering News,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-01,3c79cd7fd288bf5ff97605e3bacb99e4b4eac84392cc4494813ee33bcaed24f5,manual_review_same_title_year
9,lonmin paid 1678m in taxes royalties during 2018 financial year,2019,DISC-MEDIA-0475,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,Engineering News,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-12,f10c0c672437d7d755772948d85372db62075d4ed72e23749e6576aa79f96049,manual_review_same_title_year
10,lonmin returns to profitability but lowers 2017 sales guidance,2016,DISC-MEDIA-0491,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-14,2a6a9c63268796b28c4723b86cfea9718078d38e00db9f063450d8da4c181740,manual_review_same_title_year
10,lonmin returns to profitability but lowers 2017 sales guidance,2016,DISC-MEDIA-0492,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-25,f278d13c87b1adf7b32af0727f508ad5c949b5c1d4c787ac4097b10ef498697c,manual_review_same_title_year
11,lonmin share price rises as company reports higher fy production earnings,2013,DISC-MEDIA-0503,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-11,79a2a2c6c99e7f757730c749cf6413e9745d1b0340b19f15115c0c7e69a006a3,manual_review_same_title_year
11,lonmin share price rises as company reports higher fy production earnings,2013,DISC-MEDIA-0504,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-22,e5acd87e40af9998b6c2b797e1f7ab5d4b1ae0e90166d7a226cf93f617c44937,manual_review_same_title_year
12,lonmin shares rise on r2bn cost cut plan with worker help preventing shaft shut,2014,DISC-MEDIA-0506,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-10,6c2b694c3e5be405474e5e96c18cac879c3d0301d5f9707a7cd583ac6962f9fa,manual_review_same_title_year
12,lonmin shares rise on r2bn cost cut plan with worker help preventing shaft shut,2014,DISC-MEDIA-0507,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-21,8f4371d597d005abf36b212ea850fefb98dfb9b3c6f5de82b32dc85ac18a56f6,manual_review_same_title_year
13,lonmin sheds 1 400 jobs as cost cutting programme gets under way,2015,DISC-MEDIA-0508,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-08-27,ceafd8b4d6458559d4d5a144768d4e9d86a800c875b390b6626897e834f4d49d,manual_review_same_title_year
13,lonmin sheds 1 400 jobs as cost cutting programme gets under way,2015,DISC-MEDIA-0509,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-09-04,113317519d8bcf0a00b70bb93affd85f00b96890849daca76023b105c4f056f3,manual_review_same_title_year
14,lonmin to derecognise smaller unions in favour of amcu,2013,expanded_media_candidates__EXP-MEDIA-003,Lonmin to derecognise smaller unions in favour of AMCU,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,391256dff7e126cd5c5c9921a02b821e3a84ef5f2d478bde6dcb9f9e4ffbf941,manual_review_same_title_year
14,lonmin to derecognise smaller unions in favour of amcu,2013,DISC-MEDIA-0514,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,c91dfc4735adff081f404bf0a1dda58d1a02ec889ec763fdd84e554ff6aef816,manual_review_same_title_year
15,lonmin to sell excess processing capacity implement other measures to ensure sustainability,2017,DISC-MEDIA-0519,Lonmin To Sell Excess Processing Capacity Implement Other Measures To Ensure Sustainability,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-sell-excess-processing-capacity-implement-other-measures-to-ensure-sustainability-2017-08-07,11865f8d0c3eac6c46939ca9799e4f6f2f84fde795e55630849e8fbe3f64b5be,manual_review_same_title_year
15,lonmin to sell excess processing capacity implement other measures to ensure sustainability,2017,DISC-MEDIA-0520,Lonmin To Sell Excess Processing Capacity Implement Other Measures To Ensure Sustainability,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-sell-excess-processing-capacity-implement-other-measures-to-ensure-sustainability-2017-08-18,72c4dcb069dff56c1363c46a7f4bf784d35995db447a2384d487717050278fd5,manual_review_same_title_year
16,lonmin to shut idle high cost operations,2015,DISC-MEDIA-0521,Lonmin To Shut Idle High Cost Operations,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-07-24,19bc5f92dce52312b8c5a2dcfc653391b62ec2073dc895e64ab555a9e7e3929a,manual_review_same_title_year
16,lonmin to shut idle high cost operations,2015,DISC-MEDIA-0522,Lonmin To Shut Idle High Cost Operations,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-08-07,8ace4ea3016d0496a20f735d37e3459cca960907859102b92d36604242e5b93e,manual_review_same_title_year
17,lonmin undertakes refinancing delivers on results promise,2018,MEDIA-048,"Lonmin undertakes refinancing, delivers on results promise",Mining Weekly,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,7494c609004d6dc2ee02157a889141687cd472ff8baf6a3a5feb8506b0bd7940,manual_review_same_title_year
17,lonmin undertakes refinancing delivers on results promise,2018,DISC-MEDIA-0525,Lonmin Undertakes Refinancing Delivers On Results Promise,Engineering News,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,ae235576b42db012554ea774e72ccd7766e1758daf46d01e9fb58532abd34f40,manual_review_same_title_year
17,lonmin undertakes refinancing delivers on results promise,2018,DISC-MEDIA-0526,Lonmin Undertakes Refinancing Delivers On Results Promise,Engineering News,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,4c8e0102e9dded10c136f0f9e6a3d0ba2222fa5842827b593c714d2581e1fb2d,manual_review_same_title_year
18,lonmin unveils design proposal for marikana memorial park showcases new apartments,2017,MEDIA-016,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Mining Weekly,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,83def0e825670814873daa068fcc12af8e098db976df5e2603884e4305ec6136,manual_review_same_title_year
18,lonmin unveils design proposal for marikana memorial park showcases new apartments,2017,DISC-MEDIA-0527,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,Engineering News,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,da373ba2081666be4d0becae88df4728057bc7a58a96a9498f4427fde771a997,manual_review_same_title_year
18,lonmin unveils design proposal for marikana memorial park showcases new apartments,2017,DISC-MEDIA-0528,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,Engineering News,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,8e0cbf0694989746dfad5df99e2c61f7e323a240f9f85b2f6b4045eb43b0e0f9,manual_review_same_title_year
19,lonmins cfo to exit,2016,DISC-MEDIA-0534,Lonmins Cfo To Exit,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-12,6617ce2c46198938e0a390c2749de0da63012d5ebb5b5dc8a82f8cd82393b19c,manual_review_same_title_year
19,lonmins cfo to exit,2016,DISC-MEDIA-0535,Lonmins Cfo To Exit,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-22,6ddbb590c1ebb02496d3d3416444064c5bb00120a17da0e43bf91226fd747cda,manual_review_same_title_year
20,lonmins refined platinum output plummets on smelter shutdowns,2015,DISC-MEDIA-0538,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-01-29,9ec372fdbd969b50e11ec27977dc8377dbb20bdb64db4f09fd33a2dd00ecc66e,manual_review_same_title_year
20,lonmins refined platinum output plummets on smelter shutdowns,2015,DISC-MEDIA-0539,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-02-06,0c6c00f0e44356ad3ff70dbea40e8c104d12aad78c1701fafec7171c0c4d6146,manual_review_same_title_year
21,magara takes the reins at lonmin furnace restarted,2013,DISC-MEDIA-0549,Magara Takes The Reins At Lonmin Furnace Restarted,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-01,844614e5d02afddcb076d78acd8a307a6f16c573cf3228d6c6b4ea37b0c7ed61,manual_review_same_title_year
21,magara takes the reins at lonmin furnace restarted,2013,DISC-MEDIA-0550,Magara Takes The Reins At Lonmin Furnace Restarted,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-12,c77488d74f52786e718fa5acdd73e980fa65c428b407ebc22c4cfa7a0f327d4c,manual_review_same_title_year
22,marikana k4platinum group metals project south africa update,2023,DISC-MEDIA-0560,Marikana K4Platinum Group Metals Project South Africa Update,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-03-03,16f0a5f476feba9020f0d1877f7f42924aa93f320261c3039908bd525cb77136,manual_review_same_title_year
22,marikana k4platinum group metals project south africa update,2023,DISC-MEDIA-0561,Marikana K4Platinum Group Metals Project South Africa Update,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-04-07,82a6f1ffb53487f8390621c83af2034a039f436db03ea1779b8bf8b3e30cb43c,manual_review_same_title_year
22,marikana k4platinum group metals project south africa update,2023,DISC-MEDIA-0562,Marikana K4Platinum Group Metals Project South Africa Update,Engineering News,https://www.engineeringnews.co.za/article/marikana-k4platinum-group-metals-project-south-africa-update-2023-09-22,e06aa396c49e709b1bc8676d5e9df10e8677fa6454a88872e426c48a80992637,manual_review_same_title_year
23,marikana report to zuma by tuesday,2015,expanded_media_candidates__EXP-MEDIA-010,Marikana report to Zuma by Tuesday,Mining Weekly,https://www.miningweekly.com/article/marikana-report-to-zuma-by-tuesday-2015-03-30,90402ca2158e96a0f563f2277732c99ccb4fd7c83897720a006d20de437a923f,manual_review_same_title_year
23,marikana report to zuma by tuesday,2015,DISC-MEDIA-0573,Marikana Report To Zuma By Tuesday,Engineering News,https://www.engineeringnews.co.za/article/marikana-report-to-zuma-by-tuesday-2015-03-30,511cce9d227f9aec592d7e8ffaeff62b2b93ec0a53e32fe63e6608f63cfed199,manual_review_same_title_year
24,miners regress on arv treatment lonmin,2014,MEDIA-034,Miners regress on ARV treatment – Lonmin,Mining Weekly,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,32dff3710011ff2a46ffbbff828f71baf03bf4288a32ce55691254150f772aee,manual_review_same_title_year
24,miners regress on arv treatment lonmin,2014,DISC-MEDIA-0582,Miners Regress On Arv Treatment Lonmin,Engineering News,https://www.engineeringnews.co.za/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,7fe9419c523f7bccdfc149fb1e17da4233c16f2f502960fbea6049db60811d9d,manual_review_same_title_year
25,missing millions from lonmin fund prompts community pay reform,2016,DISC-MEDIA-0585,Missing Millions From Lonmin Fund Prompts Community Pay Reform,Engineering News,https://www.engineeringnews.co.za/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,7b2cc1e43fc04299a0c305d1c9a1e55425622e4c6a44659d22e7bc1cca6dfe61,manual_review_same_title_year
25,missing millions from lonmin fund prompts community pay reform,2016,SAT-EARLY-MEDIA-002,Missing millions from Lonmin fund prompts community pay reform,Mining Weekly / Bloomberg,https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,d4c29bb2b91c27f40b5e62890d3bfc123a3cf7645a9996f27d064992f0c6da37,manual_review_same_title_year
26,nothing off table as lonmin pursues value in low platinum price environment,2017,MEDIA-042,Nothing off table as Lonmin pursues value in low platinum price environment,Mining Weekly,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,6061ab8372dc8705607ee2e80f22eddb1823540cd28139c51c8ee580384ec589,manual_review_same_title_year
26,nothing off table as lonmin pursues value in low platinum price environment,2017,DISC-MEDIA-0589,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,Engineering News,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,0bf394eecacfd21af3c597357caff073b1b33b34c872bc23b96f65c7cd6334b5,manual_review_same_title_year
26,nothing off table as lonmin pursues value in low platinum price environment,2017,DISC-MEDIA-0590,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,Engineering News,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,fd1dedb924e2806b36b6eedaa9bed127504595166d7e3d60e73cd5bbfb899fdc,manual_review_same_title_year
27,num member gunned down at lonmin hostel,2013,expanded_media_candidates__EXP-MEDIA-005,NUM member gunned down at Lonmin hostel,Mining Weekly,https://www.miningweekly.com/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,cae0ab0f706a29c799b2d52227b82dc7b35889a88bcb72f9243327b2cef93464,manual_review_same_title_year
27,num member gunned down at lonmin hostel,2013,DISC-MEDIA-0592,Num Member Gunned Down At Lonmin Hostel,Engineering News,https://www.engineeringnews.co.za/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,51cbe56ff22f5e3b0b3e2aef29ed5a498d690ef3022e26b10af2a216582c372f,manual_review_same_title_year
28,num wants members at lonmin back,2013,expanded_media_candidates__EXP-MEDIA-004,NUM wants members at Lonmin back,Mining Weekly,https://www.miningweekly.com/article/num-wants-members-at-lonmin-back-2013-07-11,d404a4c9e124e1d3b0d69844cd268bf57dd2208377ac051fd85bcf3e79f1e603,manual_review_same_title_year
28,num wants members at lonmin back,2013,DISC-MEDIA-0596,Num Wants Members At Lonmin Back,Engineering News,https://www.engineeringnews.co.za/article/num-wants-members-at-lonmin-back-2013-07-11,842da6df9a802193103c4ba60e9cd107231db88b36236aeafaab9c14d983fc77,manual_review_same_title_year
29,ramaphosa questioned about marikana inaction,2014,MEDIA-013,Ramaphosa questioned about Marikana inaction,Mining Weekly,https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,7eca024ba909dab5f7c424731ea32fcba06ec2b2c6237d280f11f8525211bb26,manual_review_same_title_year
29,ramaphosa questioned about marikana inaction,2014,DISC-MEDIA-0610,Ramaphosa Questioned About Marikana Inaction,Engineering News,https://www.engineeringnews.co.za/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,194bd5ef0c4fab356f1d5287f4ae8026d01fd34522c2700c87fce67a21b09465,manual_review_same_title_year
30,resilient lonmin beats guidance ups cash,2017,DISC-MEDIA-0615,Resilient Lonmin Beats Guidance Ups Cash,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-03,fd3e2a0e1656d0f29dba71aff1242073cff08887c2836ba0cf17cad57a95f1de,manual_review_same_title_year
30,resilient lonmin beats guidance ups cash,2017,DISC-MEDIA-0616,Resilient Lonmin Beats Guidance Ups Cash,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-17,ee3b97782682f3e941f65a8044c432e73d4b3b1c2c66955795eb5b2314bbc839,manual_review_same_title_year
31,resilient lonmin delivers sturdy output extracts cash from tailings,2018,DISC-MEDIA-0617,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-01-22,c53cc44754d507a974ce6ae499929a08a4a0034e738822f0797ba66adf6686d5,manual_review_same_title_year
31,resilient lonmin delivers sturdy output extracts cash from tailings,2018,DISC-MEDIA-0618,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-02-02,19a5dc07fa4faed41f9e2653d2a215ba825a8d8e2fd7e0683676f2313ed577e1,manual_review_same_title_year
32,sa mining challenges about far more than marikana migrant labour manuel,2013,DISC-MEDIA-0625,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,Engineering News,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-08-30,98635ecd0937e0ffb8aa6bb519b652b6052cead9996085afa22c390162abeafd,manual_review_same_title_year
32,sa mining challenges about far more than marikana migrant labour manuel,2013,DISC-MEDIA-0626,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,Engineering News,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-09-13,593bd604ab499a9b0b5e4da07de0aa9574b43edda55718b2ca401f1db56f5865,manual_review_same_title_year
33,sibanye continues to make reparations at marikana,2022,DISC-MEDIA-0635,Sibanye Continues To Make Reparations At Marikana,Engineering News,https://www.engineeringnews.co.za/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,caa6af17666af9c26a64dfbe5de223ec5ed64addd7a07c82c93ef45a99382a44,manual_review_same_title_year
33,sibanye continues to make reparations at marikana,2022,WEB-MEDIA-004,Sibanye continues to make reparations at Marikana,Mining Weekly,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,manual_review_same_title_year
34,sibanye highlights lonmin drdgold deal attractions at denver,2018,DISC-MEDIA-0638,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,Engineering News,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-09-26,247ff481e20af0b0d7afef09a08dd3b06629fa9ec323b71d9310012fe5beaebf,manual_review_same_title_year
34,sibanye highlights lonmin drdgold deal attractions at denver,2018,DISC-MEDIA-0639,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,Engineering News,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-10-05,291b3160e40473d05e6891922e8b4ad89b16c27f4b11d6a8f774cae7f2c15359,manual_review_same_title_year
35,sibanye hosts marikana memorial lecture,2020,MEDIA-018,Sibanye hosts Marikana memorial lecture,Mining Weekly,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,2c8d60b709cc129a754b5efac02330a35bce85f24ff47f5c99bee0a80ec4b086,manual_review_same_title_year
35,sibanye hosts marikana memorial lecture,2020,DISC-MEDIA-0640,Sibanye Hosts Marikana Memorial Lecture,Engineering News,https://www.engineeringnews.co.za/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,d0287e54705dfc9ccf054bdf003e7ab908f14ead8315dae75e2f9dd42d8bea51,manual_review_same_title_year
36,sibanye lonmin merger enters final stretch as amcu appeal is dismissed,2019,MEDIA-049,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",Mining Weekly,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,c94122a498152a45f32f39b92e46070b1952569252c6da5a7e7ea715869e20d9,manual_review_same_title_year
36,sibanye lonmin merger enters final stretch as amcu appeal is dismissed,2019,DISC-MEDIA-0644,Sibanye Lonmin Merger Enters Final Stretch As Amcu Appeal Is Dismissed,Engineering News,https://www.engineeringnews.co.za/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,231313a3ba196fc717b84fdb5ade922be5b8d9abee5f3873c038d617c522a014,manual_review_same_title_year
37,sibanye plans to cut 5 270 jobs as it restructures marikana operations,2019,MEDIA-051,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,Mining Weekly,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,e71f25a7e3e093cbdf796ff91aa46bba8425c4b9cf21e82789161f1ff62a1674,manual_review_same_title_year
37,sibanye plans to cut 5 270 jobs as it restructures marikana operations,2019,DISC-MEDIA-0646,Sibanye Plans To Cut 5 270 Jobs As It Restructures Marikana Operations,Engineering News,https://www.engineeringnews.co.za/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-10-04,8376efa6e1525514cb11b5be73508be01224963ceb69b6c1ba2494ef28792831,manual_review_same_title_year
38,sibanye stillwater restructures historical lonmin bee structure,2021,DISC-MEDIA-0649,Sibanye Stillwater Restructures Historical Lonmin Bee Structure,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,50b5fe2cc2ebabd9b558c43a1c81173c0f4d258f1296facad4af6b3b34ffde18,manual_review_same_title_year
